id,client_id,card_number,card_type,issue_date,expiry_date,status
41,40,4276400011223744,МИР,2020-11-09,2025-11-09,Активный
42,41,5276410011223755,Mastercard,2019-09-22,2024-09-22,Активный
43,42,4276420011223766,МИР,2022-02-04,2027-02-04,Активный
44,43,5276430011223777,Mastercard,2018-10-17,2023-10-17,Неактивный
45,44,4276440011223788,МИР,2021-05-30,2026-05-30,Активный
46,45,5276450011223799,Mastercard,2020-03-13,2025-03-13,Активный
47,46,4276460011223800,МИР,2019-12-26,2024-12-26,Активный
48,47,5276470011223811,Mastercard,2022-08-08,2027-08-08,Активный
49,48,4276480011223822,МИР,2023-04-21,2028-04-21,Активный
50,49,5276490011223833,Mastercard,2021-01-03,2026-01-03,Активный
51,50,4276500011223844,МИР,2020-06-16,2025-06-16,Активный
52,51,5276510011223855,Mastercard,2019-02-28,2024-02-28,Активный
53,52,4276520011223866,МИР,2022-09-10,2027-09-10,Активный
54,53,5276530011223877,Mastercard,2018-05-23,2023-05-23,Неактивный
55,54,4276540011223888,МИР,2021-12-06,2026-12-06,Активный
56,55,5276550011223899,Mastercard,2020-07-19,2025-07-19,Активный
57,56,4276560011223900,МИР,2019-04-01,2024-04-01,Активный
58,57,5276570011223911,Mastercard,2022-10-14,2027-10-14,Активный
59,58,4276580011223922,МИР,2023-06-27,2028-06-27,Активный
60,59,5276590011223933,Mastercard,2021-03-10,2026-03-10,Активный
61,60,4276600011223944,МИР,2020-08-23,2025-08-23,Активный
62,61,5276610011223955,Mastercard,2019-11-05,2024-11-05,Активный
63,62,4276620011223966,МИР,2022-04-18,2027-04-18,Активный
64,63,5276630011223977,Mastercard,2018-01-30,2023-01-30,Неактивный
65,64,4276640011223988,МИР,2021-09-12,2026-09-12,Активный
66,65,5276650011223999,Mastercard,2020-12-25,2025-12-25,Активный
67,66,4276660011224000,МИР,2019-07-08,2024-07-08,Активный
68,67,5276670011224011,Mastercard,2022-02-20,2027-02-20,Активный
69,68,4276680011224022,МИР,2023-10-03,2028-10-03,Активный
70,69,5276690011224033,Mastercard,2021-05-16,2026-05-16,Активный
71,70,4276700011224044,МИР,2020-10-29,2025-10-29,Активный
72,71,5276710011224055,Mastercard,2019-03-12,2024-03-12,Активный
73,72,4276720011224066,МИР,2022-08-25,2027-08-25,Активный
74,73,5276730011224077,Mastercard,2018-12-07,2023-12-07,Неактивный
75,74,4276740011224088,МИР,2021-04-20,2026-04-20,Активный
76,75,5276750011224099,Mastercard,2020-11-02,2025-11-02,Активный
77,1,4276760011224100,Visa,2022-06-15,2027-06-15,Активный
78,2,5276770011224111,Visa,2019-09-28,2024-09-28,Активный
79,3,4276780011224122,Visa,2021-02-10,2026-02-10,Активный
80,4,5276790011224133,Visa,2018-04-23,2023-04-23,Неактивный
81,5,4276800011224144,Visa,2020-07-06,2025-07-06,Активный
82,6,5276810011224155,Visa,2019-12-19,2024-12-19,Активный
83,7,4276820011224166,Visa,2022-05-02,2027-05-02,Активный
84,8,5276830011224177,Visa,2018-10-15,2023-10-15,Неактивный
85,9,4276840011224188,Visa,2021-03-28,2026-03-28,Активный
86,10,5276850011224199,Visa,2020-08-11,2025-08-11,Активный
87,11,4276860011224200,Visa,2019-01-24,2024-01-24,Активный
88,12,5276870011224211,Visa,2022-06-07,2027-06-07,Активный
89,13,4276880011224222,Visa,2023-11-20,2028-11-20,Активный
90,14,5276890011224233,Visa,2021-04-03,2026-04-03,Активный
91,15,4276900011224244,Visa,2020-09-16,2025-09-16,Активный
92,16,5276910011224255,Visa,2019-02-28,2024-02-28,Активный
93,17,4276920011224266,Visa,2022-07-12,2027-07-12,Активный
94,18,5276930011224277,Visa,2018-12-25,2023-12-25,Неактивный
95,19,4276940011224288,Visa,2021-05-08,2026-05-08,Активный
96,20,5276950011224299,Visa,2020-10-21,2025-10-21,Активный
97,21,4276960011224300,Visa,2019-03-05,2024-03-05,Активный
98,22,5276970011224311,Visa,2022-08-18,2027-08-18,Активный
99,23,4276980011224322,Visa,2023-01-30,2028-01-30,Активный
100,24,5276990011224333,Visa,2021-06-13,2026-06-13,Активный
101,25,4277000011224344,Visa,2020-11-26,2025-11-26,Активный
102,26,5277010011224355,Visa,2019-04-09,2024-04-09,Активный
103,27,4277020011224366,Visa,2022-09-22,2027-09-22,Активный
104,28,5277030011224377,Visa,2018-02-04,2023-02-04,Неактивный
105,29,4277040011224388,Visa,2021-07-17,2026-07-17,Активный
106,30,5277050011224399,Visa,2020-12-30,2025-12-30,Активный
107,31,4277060011224400,Visa,2019-05-14,2024-05-14,Активный
108,32,5277070011224411,Visa,2022-10-27,2027-10-27,Активный
109,33,4277080011224422,Visa,2023-04-10,2028-04-10,Активный
110,34,5277090011224433,Visa,2021-09-23,2026-09-23,Активный
